38	0.228591	       0.255697      -0.110126       0.890425
39	0.25554	       0.130811      -0.182353       0.818559
40	0.265165	    -0.00136737      -0.208148       0.792893
41	0.256021	        -0.1299      -0.183642       0.817276
42	0.230516	      -0.249316      -0.115284       0.885292
48	0.132373	       0.359617      -0.111965       0.888595
49	0.161638	       0.255697      -0.247813       0.753426
50	0.180694	       0.130811      -0.336272       0.665409
51	0.1875	    -0.00136737      -0.367865       0.633974
52	0.181035	        -0.1299      -0.337852       0.663837
53	0.162999	      -0.249316      -0.254132       0.747139
54	0.133394	      -0.350502      -0.116704        0.88388
59	0.0685211	       0.359617      -0.182847       0.818067
60	0.08367	       0.255697      -0.334367       0.667305
61	0.093534	       0.130811       -0.43303       0.569135
62	0.0970571	    -0.00136737      -0.468267       0.534074
63	0.0937102	        -0.1299      -0.434792       0.567382
64	0.0843746	      -0.249316      -0.341414       0.660293
65	0.0690499	      -0.350502      -0.188133       0.812808
70	-6.38993e-008	       0.359617      -0.207024       0.794011
71	-7.34351e-008	       0.255697      -0.363888       0.637931
72	-7.96444e-008	       0.130811      -0.466033       0.536297
73	-8.18617e-008	    -0.00136737      -0.502513            0.5
74	-7.9755e-008	        -0.1299      -0.467856       0.534483
75	-7.38784e-008	      -0.249316      -0.371185       0.630671
76	-6.42319e-008	      -0.350502      -0.212497       0.788566
81	-0.0685215	       0.359617      -0.182847       0.818067
82	-0.08367	       0.255697      -0.334367       0.667305
83	-0.0935344	       0.130811       -0.43303       0.569135
84	-0.0970571	    -0.00136737      -0.468267       0.534074
85	-0.0937106	        -0.1299      -0.434792       0.567382
86	-0.0843746	      -0.249316      -0.341414       0.660293
87	-0.0690499	      -0.350502      -0.188133       0.812808
92	-0.132373	       0.359617      -0.111965       0.888595
93	-0.161638	       0.255697      -0.247813       0.753426
94	-0.180694	       0.130811      -0.336272       0.665409
95	-0.1875	    -0.00136737      -0.367864       0.633975
96	-0.181035	        -0.1299      -0.337852       0.663837
97	-0.162999	      -0.249316      -0.254132       0.747139
98	-0.133394	      -0.350502      -0.116704        0.88388
104	-0.228591	       0.255697      -0.110126       0.890425
105	-0.25554	       0.130811      -0.182352        0.81856
106	-0.265165	    -0.00136737      -0.208148       0.792893
107	-0.256021	        -0.1299      -0.183642       0.817276
108	-0.230516	      -0.249316      -0.115284       0.885292
