134	320       -2.10284       -1.57713       0.711434              0
135	311       -2.12396       -1.59297       0.703516              0
135	312       -2.11664       -1.58748        0.70626              0
135	313       -2.10937       -1.58203       0.708985              0
135	314       -2.10216       -1.57662       0.711692              0
135	315       -2.09499       -1.57124        0.71438              0
135	316       -2.08787        -1.5659        0.71705              0
135	317        -2.0808        -1.5606       0.719701              0
135	318       -2.07377       -1.55533       0.722335              0
135	319        -2.0668        -1.5501       0.724951              0
135	320       -2.05987        -1.5449        0.72755              0
135	321        -2.0661       -1.54958       0.725212              0
135	322       -2.07237       -1.55428        0.72286              0
135	323       -2.07868       -1.55901       0.720493              0
135	324       -2.08503       -1.56378       0.718112              0
135	325       -2.09142       -1.56857       0.715717              0
135	326       -2.09785       -1.57339       0.713307              0
135	327       -2.10432       -1.57824       0.710881              0
135	328       -2.11082       -1.58312       0.708441              0
135	329       -2.11737       -1.58803       0.705986              0
135	330       -2.12396       -1.59297       0.703516              0
136	302        -2.1455       -1.60913       0.695437              0
136	303       -2.13804       -1.60353       0.698237              0
136	304       -2.13062       -1.59797       0.701017              0
136	305       -2.12326       -1.59244       0.703778              0
136	306       -2.11594       -1.58696       0.706521              0
136	307       -2.10868       -1.58151       0.709244              0
136	308       -2.10147        -1.5761       0.711949              0
136	309       -2.09431       -1.57073       0.714635              0
136	310       -2.08719       -1.56539       0.717303              0
136	311       -2.08012       -1.56009       0.719953              0
136	312       -2.07311       -1.55483       0.722586              0
136	313       -2.06613        -1.5496         0.7252              0
136	314       -2.05921       -1.54441       0.727797              0
136	315       -2.05233       -1.53925       0.730377              0
136	316        -2.0455       -1.53412       0.732939              0
136	317       -2.03871       -1.52903       0.735484              0
136	318       -2.03197       -1.52397       0.738013              0
136	319       -2.02527       -1.51895       0.740525              0
136	320       -2.01861       -1.51396        0.74302              0
136	321       -2.02492       -1.51869       0.740657              0
136	322       -2.03126       -1.52344       0.738278              0
136	323       -2.03764       -1.52823       0.735885              0
136	324       -2.04406       -1.53305       0.733476              0
136	325       -2.05053       -1.53789       0.731053              0
136	326       -2.05703       -1.54277       0.728613              0
136	327       -2.06358       -1.54768       0.726159              0
136	328       -2.07016       -1.55262       0.723689              0
136	329       -2.07679       -1.55759       0.721203              0
136	330       -2.08347        -1.5626         0.7187              0
136	331       -2.09018       -1.56764       0.716182              0
136	332       -2.09694        -1.5727       0.713648              0
136	333       -2.10374       -1.57781       0.711097              0
136	334       -2.11059       -1.58294       0.708529              0
136	335       -2.11748       -1.58811       0.705945              0
136	336       -2.12442       -1.59331       0.703344              0
136	337        -2.1314       -1.59855       0.700725              0
136	338       -2.13843       -1.60382        0.69809              0
136	339        -2.1455       -1.60913       0.695437              0
137	293       -2.16749       -1.62562       0.687192              0
137	294       -2.15987        -1.6199        0.69005              0
137	295        -2.1523       -1.61423       0.692887              0
137	296       -2.14479       -1.60859       0.695705              0
137	297       -2.13733       -1.60299       0.698503              0
137	298       -2.12992       -1.59744       0.701281              0
137	299       -2.12256       -1.59192       0.704041              0
137	300       -2.11525       -1.58644       0.706781              0
137	301       -2.10799       -1.58099       0.709503              0
137	302       -2.10078       -1.57559       0.712206              0
137	303       -2.09362       -1.57022       0.714891              0
137	304       -2.08651       -1.56489       0.717557              0
137	305       -2.07945       -1.55959       0.720205              0
137	306       -2.07244       -1.55433       0.722836              0
137	307       -2.06547        -1.5491       0.725449              0
137	308       -2.05855       -1.54391       0.728044              0
137	309       -2.05168       -1.53876       0.730622              0
137	310       -2.04485       -1.53363       0.733183              0
137	311       -2.03806       -1.52855       0.735726              0
137	312       -2.03132       -1.52349       0.738253              0
137	313       -2.02463       -1.51847       0.740764              0
137	314       -2.01798       -1.51348       0.743258              0
137	315       -2.01137       -1.50853       0.745735              0
137	316       -2.00481       -1.50361       0.748196              0
